sentence	question_type	time	location	temp_comp_flag
is snow expected in Berlin next week	1	next week	Berlin	0
How's the climate in Moscow tomorrow	3	tomorrow	Moscow	0
will it rain in New York next hour	0	next hour	New York	0
is snow expected in Miami now	1	now	Miami	0
Do you think it will snow  next hour	1	next hour	N/A	0
do you like the weather today	-1	N/A	N/A	0
is rain expected in Los Angeles next week	0	next week	Los Angeles	0
Might it rain in Hong Kong April 1st	0	April 1st	Hong Kong	0
How's the climate in Boston N/A	3	N/A	Boston	0
What's the weather like in Los Angeles April 1st	3	April 1st	Los Angeles	0
will it be warmer in Berlin next week	2	next week	Berlin	2
is it hotter in Chicago now	2	now	Chicago	2
is it going to snow in Rome N/A	1	N/A	Rome	0
is it going to snow in Toronto now	1	now	Toronto	0
will it rain in Miami next week	0	next week	Miami	0
is snow expected in Sydney N/A	1	N/A	Sydney	0
is it going to snow  next week	1	next week	N/A	0
is it colder in Berlin now	2	now	Berlin	1
will it snow in Miami April 1st	1	April 1st	Miami	0
tell me about the weather in Dubai next week	3	next week	Dubai	0
is it going to snow in Rome N/A	1	N/A	Rome	0
Can you give me the weather conditions in Moscow N/A	3	N/A	Moscow	0
Might it rain in Chicago N/A	0	N/A	Chicago	0
